ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500TotalCalories00count,pre1500TotalCalories00gini,pre1500TotalCalories00majority,pre1500TotalCalories00max,pre1500TotalCalories00mean,pre1500TotalCalories00median,pre1500TotalCalories00min,pre1500TotalCalories00std,pre1500TotalCalories00sum
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,21326,0.95149001341,0.0,1651.64990234,49.615858281,0.0,0.0,207.666205276,1058107.7937
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,22,0.00388296512972,7203.83984375,7240.44970703,7189.73168945,7203.83984375,7074.79980469,56.9032358804,158174.097168
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2226,0.220188686256,41734.6796875,49834.8710938,32075.768699,36300.8710938,9211.44042969,12806.4744034,71400661.124
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1948,0.032006277508,65508.0625,69762.0546875,62648.4623793,62134.2109375,56656.8085938,3528.08752186,122039204.715
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1735,0.026280651158,60339.4023438,66527.2734375,60616.2566102,60717.7929688,55288.0,2790.22304176,105169205.219
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2480,0.0167495580502,60274.2109375,63343.4023438,59301.719495,59393.9765625,53531.0820312,1738.34616032,147068264.348
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5206,0.319655089372,0.0,19144.8105469,7578.38394222,7147.62524414,0.0,4277.61012521,39453066.8032
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2822,0.211691849645,55177.640625,63708.0507812,41150.7819082,38655.2207031,13444.5703125,15242.9151544,116127506.545
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1315,0.046998090258,48584.4023438,62483.9609375,53717.066635,53164.7109375,45642.1015625,4383.39645351,70637942.625
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,158,0.0303357299855,61736.28125,64902.9609375,60166.7195659,61037.6542969,49005.0195312,3412.38773463,9506341.69141
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2781,0.143358981308,32783.359375,48793.53125,26977.8885402,25746.4902344,9303.02050781,6775.45432798,75025508.0303
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,360,0.0667180155691,40799.5,50807.0703125,42684.0451959,44362.0839844,12337.4501953,5987.78817427,15366256.2705
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1544,0.0678468323996,49263.0,66745.4140625,59055.3041486,62838.7519531,33966.7617188,7513.53966795,91181389.6055
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.00945827125345,58995.1015625,62396.1992188,61070.6660156,61202.7460938,58995.1015625,1041.71529981,488565.328125
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2054,0.0552804923627,43773.2695312,59044.4101562,50414.741326,48974.609375,39430.0898438,4883.47161706,103551878.684
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,4049,0.651999060175,0.0,22300.7402344,4061.56167483,1931.85998535,0.0,5143.36407033,16445263.2214
