ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002TotalCaloriescount,pre15002TotalCaloriesgini,pre15002TotalCaloriesmajority,pre15002TotalCaloriesmax,pre15002TotalCaloriesmean,pre15002TotalCaloriesmedian,pre15002TotalCaloriesmin,pre15002TotalCaloriesstd,pre15002TotalCaloriessum
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,3687,0.571545413879,0.0,6459.26025391,973.402679195,694.539978027,0.0,1098.60088989,3588935.67819
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,20147,0.948892062878,0.0,3390.64013672,51.7846648711,0.0,0.0,211.642235324,1043305.64316
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,15,0.00337906640471,7203.83984375,7240.44970703,7195.59856771,7203.83984375,7074.79980469,50.8251221786,107933.978516
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2113,0.222420691835,44797.6796875,49834.8710938,31817.5550797,35772.0429688,5378.22998047,12823.9579031,67230493.8833
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1805,0.0318806268966,62527.5,69762.0546875,62627.2113682,62145.8125,56656.8085938,3509.20226744,113042116.52
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1651,0.0261731314521,60339.4023438,66527.2734375,60628.8551612,60657.7617188,55268.4882812,2780.89486373,100098239.871
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2399,0.0171229769547,57485.078125,63274.2617188,59301.7705392,59399.7421875,53598.3125,1778.51501659,142264947.523
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,4807,0.316153463708,0.0,19144.8105469,7651.26259076,7216.08007812,0.0,4268.92322155,36779619.2738
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2754,0.211557984523,55177.640625,63708.0507812,41179.4937417,38655.2207031,13444.5703125,15239.2887446,113408325.765
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1268,0.0470299091407,59151.203125,62483.9609375,53654.3203926,53114.2304688,45636.359375,4381.54203304,68033678.2578
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,148,0.0301853968537,61736.28125,64902.9609375,60157.1933858,60906.515625,49005.0195312,3384.6986566,8903264.62109
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2607,0.142435597623,35708.0898438,48793.53125,26977.6681913,25670.0507812,9303.02050781,6729.71772163,70330780.9746
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,346,0.0684007671515,43670.8203125,50931.6914062,42480.8866651,44404.7167969,12337.4501953,6127.69443672,14698386.7861
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1456,0.0682057993134,46053.2695312,66745.4140625,58948.8429907,62678.6308594,33966.7617188,7508.20006482,85829515.3945
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,7,0.0099948619626,58995.1015625,62396.1992188,60993.8867188,60944.8515625,58995.1015625,1092.26126799,426957.207031
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,1878,0.0542658446332,48597.5195312,59039.890625,50508.5200263,49065.2714844,39169.359375,4803.2783694,94855000.6094
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,3775,0.652336753642,0.0,22300.7402344,4051.05480098,1928.65002441,0.0,5131.25318405,15292731.8737
