ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500MaximumCalories0count,pre1500MaximumCalories0gini,pre1500MaximumCalories0majority,pre1500MaximumCalories0max,pre1500MaximumCalories0mean,pre1500MaximumCalories0median,pre1500MaximumCalories0min,pre1500MaximumCalories0std,pre1500MaximumCalories0sum
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2226,0.169909834164,11674.1601562,13629.1005859,9116.34874052,9653.52050781,3428.08007812,2771.44750881,20292992.2964
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1948,0.0182364892978,16815.5507812,18512.8007812,17284.9520191,17220.7011719,16315.5,552.843935133,33671086.5332
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1735,0.0191770567766,16691.4511719,18797.5,17159.2310339,17019.9511719,16260.75,592.364916678,29771265.8438
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2480,0.0247122049843,15078.1503906,17304.6503906,15846.0530033,15954.1503906,14103.6005859,683.683306343,39298211.4482
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5080,0.21539784778,3906.96020508,5583.04003906,3145.16745258,3492.32006836,391.160003662,1213.14983233,15977450.6591
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2822,0.243417539813,16392.1503906,17326.5507812,10414.9824851,9661.55029297,3223.68017578,4438.66835668,29391080.573
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1315,0.0533000717785,15038.0,18122.25,14779.6037005,15019.75,11983.6806641,1399.34973636,19435178.8662
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,158,0.0348753605581,13442.9501953,13636.4003906,12561.6139859,12858.9506836,10606.9003906,785.031567323,1984735.00977
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2781,0.129059499311,5571.36035156,12548.7001953,7400.52152581,7136.47998047,3609.12011719,1671.27101105,20580850.3633
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,360,0.0566136716005,12071.2802734,14034.25,11582.812991,11995.3603516,4969.84033203,1472.90353914,4169812.67676
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1544,0.0645838822787,17837.5507812,18720.8496094,16620.5666175,17764.5507812,10325.1201172,2017.45695869,25662154.8574
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.0138164465925,16067.3007812,17461.5996094,16795.9313965,16771.75,16067.3007812,414.724565113,134367.451172
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2054,0.0542903694384,12316.5605469,15381.1005859,13511.7864561,13172.8505859,10757.2802734,1306.17808092,27753209.3809
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,2338,0.23440919041,2148.92993164,5004.88037109,2504.7064726,2642.2199707,333.959991455,1029.65672563,5856003.73294
