ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCalories0count,pre1500AverageCalories0gini,pre1500AverageCalories0majority,pre1500AverageCalories0max,pre1500AverageCalories0mean,pre1500AverageCalories0median,pre1500AverageCalories0min,pre1500AverageCalories0std,pre1500AverageCalories0sum
79885244456.0,11749091526.0,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME,91634.0174506,1824.44875692,-7704222.30385,4509366.95851,37,1237,0.189045944215,4604.91845703,6071.62597656,3425.2861859,2761.22241211,1102.64001465,1176.27837635,4237079.01196
1.22054577774e+11,19242052501.0,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY,141296.440791,2666.09194497,-8415277.28034,4321414.63824,38,1801,0.126930808295,6457.53027344,7292.33447266,5203.76152192,5695.32763672,1242.7800293,1224.0475505,9371974.50098
2.84331571298e+11,2049092975.0,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV,286380.709679,2356.06622936,-12984708.5784,4019862.68482,39,2659,0.203827261803,626.010009766,1978.83007812,747.638422294,644.895019531,318.399993896,304.54555968,1987970.56488
1.47784935955e+12,2.45487700921e+11,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK,1723339.64625,25016.5236703,-16815874.5256,5654961.05792,40,1290,0.198043431002,816.969970703,1651.64990234,820.238599768,816.969970703,321.859985352,284.328684043,1058107.7937
198019968.0,1306931137.0,0,A,60,-14.2661172,-170.6646022,00,G4000,American Samoa,9,60,01802701,AS,1505.00310624,314.288732187,-18933325.9489,-1528836.16603,41,22,0.00388296512972,3601.91992188,3620.22485352,3594.86584473,3601.91992188,3537.39990234,28.4516179402,79087.048584
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2226,0.17996598229,5962.09716797,7119.26757812,4784.07349708,5185.83862305,2302.86010742,1538.42623249,10649347.6045
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1948,0.0165741549234,6911.83496094,6992.06445312,6700.06104869,6697.25048828,6103.25,195.22066863,13051718.9229
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1735,0.0170985885918,6033.94042969,6652.72705078,6213.2750546,6210.38818359,5749.2578125,186.246433113,10780032.2197
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2480,0.0164277623165,6619.13671875,7038.15576172,6593.32510652,6602.37915039,6077.33789062,188.727726258,16351446.2642
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5080,0.137334857406,930.159973145,2734.97290039,1523.95657068,1528.96276855,391.160003662,372.752592307,7741699.37906
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2822,0.209384732953,6762.80322266,7078.67236328,4584.52566089,4295.02441406,1450.00402832,1680.84387765,12937531.415
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1315,0.0310097469238,6565.23876953,7516.00585938,6623.74103679,6612.80224609,5810.73242188,361.683945114,8710219.46338
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,158,0.0313879312543,5612.38916016,6222.31835938,5582.93608769,5594.95654297,4900.50195312,307.701083403,882103.901855
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2781,0.140864245505,3495.75,6126.15429688,3844.35407203,3678.07006836,1860.60400391,944.831768866,10691148.6743
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,360,0.0648704821839,6208.41894531,7258.15332031,6108.44373711,6337.44067383,2467.48999023,806.605730175,2199039.74536
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1544,0.0276189933013,7091.09716797,7416.15673828,6955.54927656,7045.95581055,4852.39453125,362.443675114,10739368.083
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.00945827405857,6555.01123047,6932.91113281,6785.6295166,6800.30517578,6555.01123047,115.746166092,54285.0361328
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2054,0.0286566166452,6329.64453125,7588.09033203,6558.49189463,6540.38549805,5038.95458984,336.117349841,13471142.3516
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,2338,0.179562914787,379.5,2294.35424805,1191.92184169,1183.0144043,333.959991455,379.849362974,2786713.26587
