ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCaloriescount,post1500AverageCaloriesgini,post1500AverageCaloriesmajority,post1500AverageCaloriesmax,post1500AverageCaloriesmean,post1500AverageCaloriesmedian,post1500AverageCaloriesmin,post1500AverageCaloriesstd,post1500AverageCaloriessum
1.4645531695e+11,1.04031344385e+11,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI,250485.671823,2883.31306393,-9539830.84527,4473794.68006,42,2247,0.148816992165,1375.70385742,2894.33032227,2162.2505563,2354.18261719,1040.69689941,576.742240457,4858577.0
1.34771603434e+11,2960200961.0,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR,137731.734141,2301.52048904,-10290489.1871,3628512.85471,43,1967,0.0271129555258,3013.78125,3307.01733398,2983.64870361,2978.61181641,2716.50805664,144.121778141,5868837.0
1.21531899917e+11,3928587545.0,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS,125460.454218,2430.51060453,-9980268.36131,3425787.85844,44,1768,0.0216765829654,2677.15991211,3079.796875,2687.04779412,2664.67773438,2529.03613281,109.274618772,4750700.5
1.78039995643e+11,2500220114.0,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO,180540.23489,2567.38599832,-10293469.3835,3936617.60586,45,2494,0.0100938395575,2888.57617188,3048.8203125,2920.5106255,2922.86035156,2689.50537109,54.3250320004,7283753.5
3.76963849026e+11,3867840830.0,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT,380830.691587,3735.29635484,-12204972.6614,4644128.48396,46,5269,0.1812822246,0.0,1515.51501465,818.818751186,864.334716797,0.0,274.14739619,4314356.0
2.11752875517e+11,1346704962.0,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS,213099.501319,2240.87414276,-10951540.3381,3948089.34831,47,2942,0.160620175615,2190.87695312,3015.74829102,2214.82834806,2163.9128418,946.399841309,628.49537287,6516025.0
92790411854.0,1535839439.0,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN,94326.2949736,1683.62940236,-9605146.235,4070908.90887,48,1340,0.011098678726,2708.89477539,2921.203125,2817.8363806,2833.34570312,2632.73779297,56.0667046752,3775900.75
8867837128.0,4923436762.0,0,A,72,+18.2176480,-066.4107992,00,G4000,Puerto Rico,9,72,01779808,PR,13791.2789931,813.664268796,-7393250.85942,1981265.16937,49,159,0.0280578498331,1942.39233398,2552.1574707,2097.64465409,2107.22021484,1811.82177734,113.380786865,333525.5
1.9634887687e+11,3379900654.0,4,A,46,+44.4467957,-100.2381762,00,G4000,South Dakota,2,46,01785534,SD,199728.979568,2446.32694034,-11157408.7689,4443755.76501,50,2776,0.0950715358311,2090.0793457,2387.4831543,1599.58897695,1542.56542969,1060.82983398,268.189317622,4440459.0
20203936287.0,7131805598.0,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA,27335.7398492,1235.77434574,-7959432.76198,4260654.6175,51,375,0.0528364180088,2773.01586914,2966.28955078,2641.21916667,2729.36816406,1345.82800293,286.86909442,990457.1875
1.02283343474e+11,8504608966.0,5,A,51,+37.5222512,-078.6681938,00,G4000,Virginia,3,51,01779803,VA,110786.581523,2588.20793102,-8757613.26377,3863310.87027,52,1576,0.0395109128776,2976.17456055,3088.640625,2837.88895939,2908.75878906,2116.71557617,204.426963116,4472513.0
158350578.0,18633500.0,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC,176.984095575,69.0833494035,-8573413.29016,3985849.33382,53,8,0.00452719978449,2826.49414062,2904.55664062,2881.11132812,2891.39501953,2826.49414062,24.9955476992,23048.890625
1.44668594415e+11,1076856589.0,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA,145745.455649,2164.17851482,-10408152.9215,4252603.65208,54,2052,0.0332504946666,2852.80053711,2949.09765625,2743.30750487,2815.45410156,2194.69458008,169.415742944,5629267.0
2.94205282243e+11,1027790845.0,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ,295234.202593,2463.56688168,-12430201.5001,3570772.17544,55,4057,0.533137401352,0.0,1198.80419922,351.481575055,290.721923828,0.0,335.559472708,1425960.75
